Release Date,Season,Episode,Episode Title,Sentence,Character,word_count
2011-04-17,Season 1,Episode 1,Winter is Coming,Jon…,benjen,1
2011-04-17,Season 1,Episode 1,Winter is Coming,"Father will let me if you ask him, I know he will.",jon snow,12
2011-04-17,Season 1,Episode 1,Winter is Coming,The Wall isn't going anywhere.,benjen,5
2011-04-17,Season 1,Episode 1,Winter is Coming,I'm ready to swear your oath.,jon snow,6
2011-04-17,Season 1,Episode 1,Winter is Coming,You don't understand what you'd be giving up. We have no families. None of us will ever father sons.,benjen,19
2011-04-17,Season 1,Episode 1,Winter is Coming,I don't care about that.,jon snow,5
2011-04-17,Season 1,Episode 1,Winter is Coming,"You might, if you knew what it meant. … I'd better get inside. Rescue your father from his guests. We'll talk later.",benjen,22
2011-04-17,Season 1,Episode 1,Winter is Coming,Your uncle's in the Night's Watch.,tyrion lannister,6
2011-04-17,Season 1,Episode 1,Winter is Coming,What're you doing back there?,jon snow,5
2011-04-17,Season 1,Episode 1,Winter is Coming,Preparing for a night with your family. I've always wanted to see the Wall.,tyrion lannister,14
2011-04-17,Season 1,Episode 1,Winter is Coming,You're Tyrion Lannister. The queen's brother?,jon snow,6
2011-04-17,Season 1,Episode 1,Winter is Coming,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?",tyrion lannister,11
2011-04-17,Season 1,Episode 1,Winter is Coming,"Did I offend you? Sorry. You are the bastard, though.",tyrion lannister,10
2011-04-17,Season 1,Episode 1,Winter is Coming,Lord Eddard Stark is my father.,jon snow,6
2011-04-17,Season 1,Episode 1,Winter is Coming,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.",tyrion lannister,43
2011-04-17,Season 1,Episode 1,Winter is Coming,What the hell do you know about being a bastard?,jon snow,10
2011-04-17,Season 1,Episode 1,Winter is Coming,All dwarves are bastards in their fathers' eyes.,tyrion lannister,8
2011-04-17,Season 1,Episode 1,Winter is Coming,You at a feast -- It's like a bear in a trap.,benjen,11
2011-04-17,Season 1,Episode 1,Winter is Coming,The boy I beheaded. Did you know him?,eddard stark,8
2011-04-17,Season 1,Episode 1,Winter is Coming,"Of course I did. Just a lad. But he was tough, Ned. A true Ranger.",benjen,15
2011-04-17,Season 1,Episode 1,Winter is Coming,He was talking madness. Said the Walkers slaughtered his friends.,eddard stark,10
2011-04-17,Season 1,Episode 1,Winter is Coming,The two he was with are still missing.,benjen,8
2011-04-17,Season 1,Episode 1,Winter is Coming,A wildling ambush.,eddard stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.,benjen,23
2011-04-17,Season 1,Episode 1,Winter is Coming,Winter is coming.,eddard stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,Uncle Benjen.,robb stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,Robb boy. How are ye?,benjen,5
2011-04-17,Season 1,Episode 1,Winter is Coming,I'm good.,robb stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,"Is this your first time in the North, Your Grace?",catelyn stark,10
2011-04-17,Season 1,Episode 1,Winter is Coming,Yes. Lovely country.,cersei lannister,3
2011-04-17,Season 1,Episode 1,Winter is Coming,"I'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time.",catelyn stark,24
2011-04-17,Season 1,Episode 1,Winter is Coming,"Hello, little dove. But you are a beauty. How old are you?",cersei lannister,12
2011-04-17,Season 1,Episode 1,Winter is Coming,"Thirteen, Your Grace.",sansa stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,You're tall. Still growing?,cersei lannister,4
2011-04-17,Season 1,Episode 1,Winter is Coming,"I think so, Your Grace.",sansa stark,5
2011-04-17,Season 1,Episode 1,Winter is Coming,And have you bled yet?,cersei lannister,5
2011-04-17,Season 1,Episode 1,Winter is Coming,"No, Your Grace.",sansa stark,3
2011-04-17,Season 1,Episode 1,Winter is Coming,And your dress. Did you make it?,cersei lannister,7
2011-04-17,Season 1,Episode 1,Winter is Coming,Such talent. You must make something for me.,cersei lannister,8
2011-04-17,Season 1,Episode 1,Winter is Coming,I hear we might share a grandchild someday.,cersei lannister,8
